stride,sum,time(msec),rate(MB/s)
1,1000000.000000,2.000000,3814.697266
2,1000000.000000,10.000000,762.939453
3,1000000.000000,9.000000,847.710503
4,1000000.000000,11.000000,693.581321
5,1000000.000000,8.000000,953.674316
6,1000000.000000,10.000000,762.939453
7,1000000.000000,5.000000,1525.878906
8,1000000.000000,11.000000,693.581321
9,1000000.000000,9.000000,847.710503
10,1000000.000000,5.000000,1525.878906
11,1000000.000000,11.000000,693.581321
12,1000000.000000,6.000000,1271.565755
13,1000000.000000,14.000000,544.956752
14,1000000.000000,4.000000,1907.348633
15,1000000.000000,11.000000,693.581321
16,1000000.000000,13.000000,586.876502
17,1000000.000000,10.000000,762.939453
18,1000000.000000,10.000000,762.939453
19,1000000.000000,17.000000,448.787914
20,1000000.000000,18.000000,423.855252
